stop_id,stop_code,stop_name,stop_lat,stop_lon
10283,14634,RANCOCAS RD BETWEEN KING ST & HIGH ST,39.99504,-74.78972
10284,14807,VETERANS PKWY AT REV DR MARTIN LUTHER KING DR,40.03420000000001,-74.89328
10285,14809,VETERANS PKWY AT BROOKLAWN DR,40.0406,-74.89188
10286,14439,FRONT ST AT SUMMER ST,40.12291,-74.80811
10287,14443,FRONT ST AT IRON ST,40.12433,-74.81539000000001
10288,14230,US-130 at LA GORCE BLVD,40.08620000000001,-74.83133000000001
10289,21522,AMERICAN WAY 674'W OF HARTZ WAY ,40.78472,-74.07565000000001
1029,18866,ROSEVILLE AVE AT 6TH AVE W,40.75739,-74.19021000000001
10290,20822,JFK BLVD AT BEACON AVE,40.73986,-74.06166
10291,21532,COUNTY AVE AT COUNTY RD,40.76737000000001,-74.06846
10292,21533,COUNTY AVE 190' S OF METRO WAY,40.76897,-74.06736000000001
10293,15257,STATE ST AT 8TH ST,39.95188,-75.11425000000001
10294,15229,RIVER AVE AT N 21 ST ST,39.95265000000001,-75.09712
10295,16096,RIVER RD AT TINSMAN AVE,39.96558,-75.06918
10296,16101,WESTFIELD & DEROUSE,39.97696000000001,-75.05772
10297,16103,RIVER RD AT ENGARD AVE,39.97833000000001,-75.05564000000001
10298,14197,BORDENTOWN RD AT JONES ST#,40.08102,-74.84286
10299,18193,PARK ST AT WATCHUNG AVE#,40.82976,-74.20711
1030,19140,1ST AVE AT NORTH 13TH ST,40.76984,-74.18848000000001
10300,18199,VALLEY RD AT INWOOD AVE#,40.84392,-74.20742
10301,14418,HORNBERGER AVE AT AMBOY AVE,40.11536,-74.77063000000001
10302,14421,HORNBERGER AVE AT 10TH AVE,40.11623,-74.78117
10303,14433,FRONT ST AT CEDAR ST,40.11962,-74.79503000000001
10304,16109,RIVER RD AT BRIDGEVIEW RD,39.98422,-75.04920000000001
10305,16111,RIVER RD AT GRIFFITH-MORGAN LN,39.98766000000001,-75.04516000000001
10306,14708,BROAD ST AT CINNAMINSON AVE,40.00431,-75.02116000000001
10307,14299,BROAD ST AT POMPESSE AVE#,40.01295,-75.00643000000001
10308,14297,BROAD ST AT UNION LANDING RD#,40.01859,-74.99676000000001
10309,25930,NORTH BEVERWYCK RD AT VAIL RD,40.87167,-74.38314000000001
1031,17211,1ST AVE AT NORTH 16TH ST,40.77036,-74.19016000000001
10310,14330,US-130 at HAINES MILL RD,40.0147,-74.95696000000001
10311,14275,US-130 AT TAYLOR'S LN,40.00782,-74.97205000000001
10312,14294,US-130 at ANDOVER RD,40.00547,-74.97805000000001
10313,14431,DELAWARE AVE AT GROVE ST,40.11704,-74.79152000000001
10314,14432,DELAWARE AVE AT PELLE CT,40.11621,-74.79084
10315,19420,KIRKPATRICK LANE AT BLOOMFIELD AVE,40.85237,-74.29818
10316,18595,FIRMENCH WAY AT G.O.D. WAY/WAREHOUSE PLACE,40.70105,-74.13300000000001
10317,25224,RUMSON RD AT WARD AVE#,40.36531,-73.97974000000001
10318,18210,VALLEY RD AT JEROME PL#,40.8444,-74.20728000000001
10319,19529,PLEASANT VALLEY WAY AT GREENWOOD AVE,40.80843,-74.26128
1032,18068,SPRINGFIELD AVE AT TUSCAN ST,40.72171,-74.26212000000001
10320,18804,ORANGE ST AT NESBITT ST,40.74801,-74.17876000000001
10321,26069,VAIL RD AT PAWNEE AVE#,40.87154,-74.3686
10322,28584,E JERSEY ST AT US-1 & 9,40.6628,-74.20736000000001
